Aparecida,4,6,10
Arapeí,3,7,10
Areias,2,8,10
Bananal,3,7,10
Cachoeira Paulista,4,6,10
Campos do Jordão,2,8,10
Canas,4,6,10
Caraguatatuba,3,7,10
Caçapava,2,8,10
Cruzeiro,4,6,10
Cunha,4,6,10
Guaratinguetá,4,6,10
Igaratá,3,7,10
Ilhabela,1,9,10
Jacareí,3,7,10
Jambeiro,3,7,10
Lagoinha,5,5,10
Lavrinhas,3,7,10
Lorena,4,6,10
Monteiro Lobato,2,8,10
Natividade da Serra,3,7,10
Paraibuna,3,7,10
Pindamonhangaba,3,7,10
Piquete,4,6,10
Potim,4,6,10
Queluz,3,7,10
Redenção da Serra,4,6,10
Roseira,4,6,10
Santa Branca,3,7,10
Santo Antônio do Pinhal,2,8,10
Silveiras,3,7,10
São Bento do Sapucaí,2,8,10
São José do Barreiro,2,8,10
São José dos Campos,2,8,10
São Sebastião,2,8,10
Taubaté,3,7,10
Tremembé,3,7,10
Ubatuba,3,7,10
